-2.284932732582092285e-01,2.411292344331741333e-01,-6.869497299194335938e-01,1.733753830194473267e-01,9.793386608362197876e-02,-5.364267230033874512e-01,1.107531115412712097e-01
-2.184932678937911987e-01,2.311292290687561035e-01,-6.769497394561767578e-01,1.633754372596740723e-01,8.793386816978454590e-02,-5.264267325401306152e-01,1.007531210780143738e-01
-2.088309377431869507e-01,2.214618325233459473e-01,-6.672881245613098145e-01,1.551501601934432983e-01,7.821178436279296875e-02,-5.167695879936218262e-01,9.101056307554244995e-02
-1.992337554693222046e-01,2.118565887212753296e-01,-6.576923727989196777e-01,1.579200625419616699e-01,6.851466000080108643e-02,-5.071810483932495117e-01,8.127978444099426270e-02
-1.896072477102279663e-01,2.022204250097274780e-01,-6.480683684349060059e-01,1.640755981206893921e-01,5.875805765390396118e-02,-4.975664019584655762e-01,7.147954404354095459e-02
-1.799082607030868530e-01,1.925109922885894775e-01,-6.383731365203857422e-01,1.716135442256927490e-01,4.890787601470947266e-02,-4.878821074962615967e-01,6.158032640814781189e-02
-1.701140850782394409e-01,1.827061325311660767e-01,-6.285840272903442383e-01,1.798939406871795654e-01,3.895182907581329346e-02,-4.781049191951751709e-01,5.157835781574249268e-02
-1.602118462324142456e-01,1.727934032678604126e-01,-6.186881065368652344e-01,1.881851255893707275e-01,2.889035642147064209e-02,-4.682213366031646729e-01,4.148981720209121704e-02
-1.501941233873367310e-01,1.627657413482666016e-01,-6.086777448654174805e-01,1.944320052862167358e-01,1.873393729329109192e-02,-4.582231640815734863e-01,3.135341033339500427e-02
-1.400567740201950073e-01,1.526193171739578247e-01,-5.985483527183532715e-01,1.958293616771697998e-01,8.503460325300693512e-03,-4.481053948402404785e-01,2.123951539397239685e-02
-1.297978758811950684e-01,1.423524618148803711e-01,-5.882974863052368164e-01,1.930782943964004517e-01,-1.766974106431007385e-03,-4.378650784492492676e-01,1.126686949282884598e-02
-1.194170266389846802e-01,1.319650113582611084e-01,-5.779239535331726074e-01,1.878947764635086060e-01,-1.202455163002014160e-02,-4.275006949901580811e-01,1.629629172384738922e-03
-1.089149489998817444e-01,1.214579343795776367e-01,-5.674275755882263184e-01,1.812143474817276001e-01,-2.218859642744064331e-02,-4.170117974281311035e-01,-7.364979013800621033e-03
